date,daily_active_kwh,baseline_kwh,deviation_pct,active_hours_count,mean_active_intensity,t1a_zscore_severity,t1b_cusum_severity,t2a_iforest_severity,t2b_lstm_severity,t3_changepoint_severity,s1,s2,s3,ensemble_score,vote_count,anomaly_type,confidence,physically_supported,is_ground_truth
2025-12-06,103.60099999999998,102.896,0.6851578292578259,15,6.9067333333333325,0.0,0.0,0.09590501113165678,0.0,1.0,0.0,0.09590501113165678,1.0,0.33356675389607987,1,normal,moderate,False,0
2025-12-07,104.51399999999998,103.348,1.1282269613235867,15,6.967599999999999,0.0,0.0,0.1107223562093774,0.0,1.0,0.0,0.1107223562093774,1.0,0.33875282467328205,1,normal,moderate,False,0
2025-12-08,102.347,103.593,-1.2027839718783908,15,6.823133333333334,0.0,0.0,0.10228047392702475,0.0,1.0,0.0,0.10228047392702475,1.0,0.33579816587445865,1,normal,moderate,False,0
2025-12-09,81.71799999999999,103.593,-21.11629164112329,15,5.447866666666666,0.0,0.0,0.41994527508394836,0.0,1.0,0.60378778181997,0.41994527508394836,1.0,0.6583065699163714,2,sudden_drop,high,True,0
2025-12-10,75.645,103.593,-26.97865685879376,15,5.043,0.0,0.0,0.3913905606848931,0.0,0.0,0.7816577081956934,0.3913905606848931,0.0,0.41056689410820524,1,sudden_drop,moderate,True,0
2025-12-11,75.95899999999999,103.593,-26.6755475753509,15,5.063933333333333,0.0,0.0,0.35891172899542767,0.0,0.0,0.7724610744262258,0.35891172899542767,0.0,0.3959804811975787,1,sudden_drop,moderate,True,0
2025-12-12,76.82400000000001,103.593,-25.84054907159903,15,5.121600000000001,0.0,0.0,0.34697222342552525,0.0,0.0,0.7471263985963221,0.34697222342552525,0.0,0.3829345177076466,1,sudden_drop,moderate,True,0
2025-12-13,76.153,103.593,-26.488276234625037,15,5.076866666666667,0.0,0.0,0.31548796264365736,0.0,0.0,0.7667790777661083,0.31548796264365736,0.0,0.37879346414341797,1,sudden_drop,moderate,True,0
2025-12-14,76.208,103.593,-26.43518384421308,15,5.080533333333333,0.0,0.0,0.29949985435005566,0.0,0.0,0.7651682024243228,0.29949985435005566,0.0,0.37263381987103245,1,sudden_drop,moderate,True,0
2025-12-15,73.58500000000001,103.593,-28.96720820876924,15,4.905666666666667,0.0,0.0,0.2984156391776136,0.0,0.0,0.841992311906213,0.2984156391776136,0.0,0.39914278287933935,1,sudden_drop,moderate,True,0
2025-12-16,73.865,103.593,-28.696919675762878,15,4.924333333333333,0.0,0.0,0.20286022249230498,0.0,0.0,0.9384890464722608,0.20286022249230498,0.0,0.399472244137598,1,sudden_drop,moderate,True,0
2025-12-17,73.88099999999999,103.593,-28.681474616733947,15,4.925399999999999,0.0,0.0,0.17714187770896417,0.0,0.0,1.0,0.17714187770896417,0.0,0.4119996571981374,1,sudden_drop,moderate,True,0
2025-12-18,73.84499999999998,103.593,-28.716225999549057,15,4.922999999999999,0.0,0.0,0.17238975149206673,0.0,0.0,1.0,0.17238975149206673,0.0,0.41033641302222335,1,sudden_drop,moderate,True,0
2025-12-19,73.95700000000001,103.593,-28.608110586346484,15,4.930466666666667,0.0,0.0,0.17333232755157033,0.0,0.0,1.0,0.17333232755157033,0.0,0.4106663146430496,1,sudden_drop,moderate,True,0
2025-12-20,73.745,103.348,-28.643998916005682,15,4.916333333333333,0.0,0.0,0.16444273682612973,0.0,0.0,1.0,0.16444273682612973,0.0,0.40755495788914536,1,sudden_drop,moderate,True,0
2025-12-21,73.314,102.896,-28.74941688667442,15,4.8876,0.0,0.0,0.1853664936123775,0.0,0.0,1.0,0.1853664936123775,0.0,0.4148782727643321,1,sudden_drop,moderate,True,0
2025-12-22,72.875,102.514,-28.912148584301534,15,4.858333333333333,0.0,0.0,0.16931674607940062,0.0,0.0,1.0,0.16931674607940062,0.0,0.4092608611277902,1,sudden_drop,moderate,True,0
2025-12-23,73.062,92.0325,-20.612826990241352,15,4.8708,0.0,0.0,0.15692587756089668,0.0,0.0,1.0,0.15692587756089668,0.0,0.4049240571463138,1,sudden_drop,moderate,True,0
