Date,GAF_ReconError_Raw,n_present,presence_ratio,GAF_ReconError_MaskAware,GAF_Anomaly_Score
2025-11-21,0.06707725090903034,24,1.0,0.06707725090903034,0.041286726209349756
2025-05-05,0.06691067173688602,24,1.0,0.06691067173688602,0.04110739455355179
2025-11-16,0.06691030479323293,24,1.0,0.06691030479323293,0.04110699951849402
2026-01-30,0.06690537139856037,24,1.0,0.06690537139856037,0.04110168844734421
2025-08-03,0.0664154530627911,24,1.0,0.0664154530627911,0.040574264368881625
2025-05-08,0.06635790059800335,24,1.0,0.06635790059800335,0.040512305969924646
2025-05-06,0.06623439901740633,24,1.0,0.06623439901740633,0.04037934971460756
2025-12-31,0.06613114786135929,24,1.0,0.06613114786135929,0.040268194156931204
2025-04-29,0.06566592571627278,24,1.0,0.06566592571627278,0.0397673568882722
2025-08-04,0.06560426119033355,24,1.0,0.06560426119033355,0.03970097162894881
2025-11-10,0.06482733845662246,24,1.0,0.06482733845662246,0.038864571504791806
2026-01-29,0.06458069962129244,24,1.0,0.06458069962129244,0.03859905121102128
2026-01-11,0.06444481667364294,24,1.0,0.06444481667364294,0.038452765731972434
2025-02-02,0.06429767703331642,24,1.0,0.06429767703331642,0.03829436180311626
2025-08-30,0.06419170670699537,24,1.0,0.06419170670699537,0.038180278908838586
2026-01-25,0.06409686798974021,24,1.0,0.06409686798974021,0.03807817980496991
2026-01-28,0.06380802875295341,24,1.0,0.06380802875295341,0.037767228454176086
2025-10-17,0.06353875693699573,24,1.0,0.06353875693699573,0.03747734250989024
2025-04-28,0.06351615484632342,24,1.0,0.06351615484632342,0.037453010114113595
2025-02-01,0.0635057684966534,24,1.0,0.0635057684966534,0.037441828636501216
2025-08-05,0.06337164107090694,24,1.0,0.06337164107090694,0.037297433073494146
2026-01-27,0.06321796236195999,24,1.0,0.06321796236195999,0.037131989477025375
2025-11-14,0.0626690914728038,24,1.0,0.0626690914728038,0.036541099727096765
2025-08-06,0.062434685267766604,24,1.0,0.062434685267766604,0.0362887485337422
2025-05-13,0.06204704965665843,24,1.0,0.06204704965665843,0.03587143744321731
2026-02-02,0.06176136256550488,24,1.0,0.06176136256550488,0.03556387955085199
2025-02-04,0.06161916306507928,24,1.0,0.06161916306507928,0.035410793954755555
2025-11-19,0.06152127732378392,24,1.0,0.06152127732378392,0.035305414561644516
2025-04-27,0.061476312127137334,24,1.0,0.061476312127137334,0.03525700705028454
2025-08-07,0.06136195474538605,24,1.0,0.06136195474538605,0.035133895028786374
2026-01-13,0.061280112226631864,24,1.0,0.061280112226631864,0.03504578704857535
2025-11-17,0.06105861629480686,24,1.0,0.06105861629480686,0.03480733447557135
2025-04-26,0.06048820542285754,24,1.0,0.06048820542285754,0.03419325574751043
2026-01-26,0.060252015120853576,24,1.0,0.060252015120853576,0.03393898387548377
2025-08-08,0.0602219299288777,24,1.0,0.0602219299288777,0.033906595508903584
2025-10-21,0.06020816030265005,24,1.0,0.06020816030265005,0.033891771747689405
2026-02-06,0.05979927851473686,24,1.0,0.05979927851473686,0.033451587977364444
2025-11-04,0.059731194022708024,24,1.0,0.059731194022708024,0.03337829127086433
2025-11-15,0.05950168002036617,24,1.0,0.05950168002036617,0.0331312068032268
2025-02-05,0.059476255665306156,24,1.0,0.059476255665306156,0.033103836084355916
2026-01-18,0.059403149239983945,24,1.0,0.059403149239983945,0.03302513299000302
2026-02-03,0.059190126690456646,24,1.0,0.059190126690456646,0.03279580247984816
2025-08-09,0.05918841932742436,24,1.0,0.05918841932742436,0.03279396440948386
2025-10-22,0.05891108917387286,24,1.0,0.05891108917387286,0.032495403220837764
2025-02-06,0.05871736785253453,24,1.0,0.05871736785253453,0.03228685154614898
2026-01-31,0.05813156105533896,24,1.0,0.05813156105533896,0.0316561982563862
2025-10-20,0.057959902161975364,24,1.0,0.057959902161975364,0.03147139800084965
2025-11-06,0.05774198762732598,24,1.0,0.05774198762732598,0.031236800999207347
2025-11-09,0.05762248088045426,24,1.0,0.05762248088045426,0.03110814540247426
2025-08-10,0.05754244240831441,24,1.0,0.05754244240831441,0.031021979577829973
2025-02-09,0.05751923964035082,24,1.0,0.05751923964035082,0.030997000519857463
2025-04-25,0.057289017580645925,24,1.0,0.057289017580645925,0.030749153789461154
2025-02-11,0.05713240422743368,24,1.0,0.05713240422743368,0.030580550886768802
2025-11-08,0.05708462886806693,24,1.0,0.05708462886806693,0.030529118080426368
2026-01-22,0.05701464140415154,24,1.0,0.05701464140415154,0.03045377271985409
2025-11-11,0.05694613749546489,24,1.0,0.05694613749546489,0.03038002448821583
2025-11-07,0.05692315217942875,24,1.0,0.05692315217942875,0.03035527952922282
2026-02-07,0.05683384494808241,24,1.0,0.05683384494808241,0.030259135374669132
2025-11-05,0.056830864043604906,24,1.0,0.056830864043604906,0.030255926266778598
2025-02-07,0.05680650254484007,24,1.0,0.05680650254484007,0.030229699771263104
2025-02-08,0.056431205577247394,24,1.0,0.056431205577247394,0.029825671910228745
2025-08-11,0.05630085362395024,24,1.0,0.05630085362395024,0.029685340851307262
2025-02-14,0.055999222799146674,24,1.0,0.055999222799146674,0.029360618651314212
2025-10-24,0.05594109749959829,24,1.0,0.05594109749959829,0.02929804356417947
2025-04-23,0.05576984854676782,24,1.0,0.05576984854676782,0.0291136846322108
2025-10-23,0.05539841138729402,24,1.0,0.05539841138729402,0.028713812067256428
2025-04-24,0.055101162256321196,24,1.0,0.055101162256321196,0.028393807002063315
2025-08-27,0.05508714885375208,24,1.0,0.05508714885375208,0.0283787208021877
2025-11-01,0.05507581577372753,24,1.0,0.05507581577372753,0.028366520117192505
2026-02-05,0.05506793946246372,24,1.0,0.05506793946246372,0.02835804083420451
2025-02-15,0.05490166561760319,24,1.0,0.05490166561760319,0.02817903788004829
